DexNum,Name,DexCondition1,NumToComplete1,DexCondition2,NumToComplete2,TypeQualifier2,IsAttacker2,DexCondition3,NumToComplete3,TypeQualifier3,IsAttacker3,DexCondition4,NumToComplete4,TypeQualifier4,IsAttacker4,DexCondition5,NumToComplete5,TypeQualifier5,IsAttacker5,DexCondition6,NumToComplete6,TypeQualifier6,IsAttacker6,DexCondition7,NumToComplete7,TypeQualifier7,IsAttacker7,DexCondition8,NumToComplete8,TypeQualifier8,IsAttacker8,DexCondition9,NumToComplete9,TypeQualifier9,IsAttacker9
13,Staravia,Number caught,15,Number defeated,25,,FALSE,Number you've defeated with Electric-type moves,10,Electric,FALSE,Times you've seen it use Aerial Ace,25,Flying,TRUE,Times you've given it food,10,,FALSE,Number of different forms you've obtained,2,,FALSE,Number you've evolved,3,,FALSE,,,,FALSE,,,,FALSE
14,Staraptor,Number caught,15,Number you've caught while they were in the air,5,,FALSE,Number defeated,15,,FALSE,Number you've defeated with Rock-type moves,20,Rock,FALSE,Times you've seen it use Air Slash,40,Flying,TRUE,Times you've seen it use Brave Bird,40,Flying,TRUE,Times you've seen it use a strong style move,15,,FALSE,Number of different forms you've obtained,2,,FALSE,,,,FALSE
15,Shinx,Number caught,25,Number defeated,15,,FALSE,Number you've defeated with Ground-type moves,10,Ground,FALSE,Times you've seen it use Quick Attack,25,Normal,TRUE,Times you've seen it use Bite,25,Dark,TRUE,Number of different forms you've obtained,2,,FALSE,Number you've evolved,3,,FALSE,,,,FALSE,,,,FALSE
16,Luxio,Number caught,15,Number defeated,25,,FALSE,Number you've defeated with Ground-type moves,20,Ground,FALSE,Times you've seen it use Bite,25,Dark,TRUE,Times you've seen it use Thunder Fang,40,Electric,TRUE,Number of different forms you've obtained,2,,FALSE,Number you've evolved,3,,FALSE,,,,FALSE,,,,FALSE
17,Luxray,Number caught,15,Number defeated,15,,FALSE,Number you've defeated with Ground-type moves,10,Ground,FALSE,Times you've seen it use Thunder Fang,25,Electric,TRUE,Times you've seen it use Crunch,25,Dark,TRUE,Times you've seen it use Wild Charge,40,Electric,TRUE,Times you've seen it use a strong style move,40,,FALSE,Number of different forms you've obtained,2,,FALSE,,,,FALSE
19,Silcoon,Number caught,15,Number caught during daylight hours,20,,FALSE,Number defeated,25,,FALSE,Number you've defeated with Flying-type moves,10,Flying,FALSE,Times you've seen it use Poison Sting,25,Poison,TRUE,Number you've evolved,3,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE
20,Beautifly,Number caught,15,Number caught during daylight hours,20,,FALSE,Number defeated,25,,FALSE,Number you've defeated with Rock-type moves,10,Rock,FALSE,Times you've seen it use Stun Spore,25,,FALSE,Times you've seen it use an agile style move,25,,FALSE,Number of different forms you've obtained,2,,FALSE,,,,FALSE,,,,FALSE
21,Cascoon,Number caught,15,Number caught at night,20,,FALSE,Number defeated,20,,FALSE,Number you've defeated with Fire-type moves,15,Fire,FALSE,Times you've seen it use Poison Sting,25,Poison,TRUE,Number you've evolved,3,,FALSE,Investigate how Silcoon and Cascoon differ,1,,FALSE,,,,FALSE,,,,FALSE
22,Dustox,Number caught,15,Number caught at night,20,,FALSE,Number defeated,25,,FALSE,Number you've defeated with Psychic-type moves,10,Psychic,FALSE,Times you've seen it use Poison Powder,25,,FALSE,Times you've seen it use a strong style move,25,,FALSE,Number of different forms you've obtained,2,,FALSE,,,,FALSE,,,,FALSE
23,Ponyta,Number caught,15,Number of heavy specimens you've caught,5,,FALSE,Number defeated,15,,FALSE,Number you've defeated with Water-type moves,10,Water,FALSE,Times you've seen it use Ember,25,Fire,TRUE,Times you've given it food,5,,FALSE,Investigated the sighting of an unusual Ponyta,1,,FALSE,,,,FALSE,,,,FALSE
